f5:big-ip_policy_enforcement_manager,15
f5:big-ip_webaccelerator,15
gimp:gimp,15
gnome:gdm,15
gplhost:domain_technologie_control,15
gwos:groundwork_monitor,15
icecast:icecast,15
ingate:ingate_firewall,15
kaspersky:kaspersky_anti-virus,15
limesurvey:limesurvey,15
microsoft:access,15
microsoft:office_converter_pack,15
microsoft:office_word,15
mono:mono,15
openstack:havana,15
oracle:application_server_web_cache,15
pcre:pcre,15
php-fusion:php-fusion,15
realnetworks:helix_server,15
redhat:enterprise_linux_server,15
redhat:enterprise_linux_workstation,15
redhat:jboss_enterprise_soa_platform,15
skype_technologies:skype,15
sql-ledger:sql-ledger,15
sun:java_system_access_manager,15
sun:ray_server_software,15
symantec:antivirus,15
symantec:enterprise_firewall,15
the_cacti_group:cacti,15
viewvc:viewvc,15
visualshapers:ezcontents,15
x.org:x11,15
adaptive_technology_resource_centre:atutor,14
adobe:illustrator,14
alkacon:opencms,14
allaire:coldfusion_server,14
andreas_gohr:dokuwiki,14
checkpoint:vpn-1,14
cisco:2100_wireless_lan_controller,14
cisco:asr_1001_router,14
cisco:asr_1002-x_router,14
cisco:asr_1002_router,14
cisco:asr_1004_router,14
cisco:asr_1006_router,14
cisco:catalyst_7600,14
cisco:emergency_responder,14
cisco:pix,14
cisco:telepresence_system_3000,14
citrix:access_gateway,14
ecava:integraxor,14
eric_allman:sendmail,14
f5:big-ip_wan_optimization_manager,14
g.rodola:pyftpdlib,14
gtk:gtk%2b,14
hp:vvos,14
ibm:lotus_connections,14
ingate:ingate_siparator,14
isc:inn,14
jupiter_cms:jupiter_cms,14
justsystems:ichitaro,14
kernel:linux-pam,14
microsoft:report_viewer,14
minibb:minibb,14
novell:ichain,14
novell:leap,14
novell:open_enterprise_server,14
nuked-klan:nuked-klan,14
openjpeg:openjpeg,14
oracle:database_11g,14
oracle:enterprise_manager_plugin_for_database_control,14
oracle:glassfish_server,14
phprojekt:phprojekt,14
qualcomm:qpopper,14
realnetworks:realplayer_enterprise,14
redhat:enterprise_linux_hpc_node,14
redhat:enterprise_virtualization_manager,14
revive-adserver:revive_adserver,14
simplog:simplog,14
sixapart:movable_type,14
sun:java,14
sun:java_se,14
tincan:phplist,14
umn:mapserver,14
xine:xine,14
zen_cart:zen_cart,14
acme_labs:thttpd,13
adobe:adobe_air_sdk_and_compiler,13
adobe:flash_media_server,13
alwil:avast_antivirus,13
apache:qpid,13
argosoft:ftp_server,13
asp-nuke:asp-nuke,13
asterisk:asterisk_appliance_developer_kit,13
asterisk:asterisknow,13
autonomy:keyview_export_sdk,13
autonomy:keyview_filter_sdk,13
autonomy:keyview_viewer_sdk,13
barracuda_networks:barracuda_spam_firewall,13
bluecoat:proxysg,13
ca:etrust_ez_antivirus,13
ca:inoculateit,13
ca:protection_suites,13
ca:server_protection_suite,13
cisco:2000_wireless_lan_controller,13
cisco:asr_1023_router,13
cisco:nexus_7000_10-slot,13
cisco:nexus_7000_18-slot,13
cisco:nexus_7000_9-slot,13
cisco:secure_desktop,13
cisco:security_agent,13
cisco:webex_advanced_recording_format_player,13
cisco:wireless_control_system,13
clever_copy:clever_copy,13
d-bus_project:d-bus,13
dokuwiki:dokuwiki,13
dotproject:dotproject,13
eset:nod32_antivirus,13
hitachi:ucosminexus_service_platform,13
ibm:algo_one,13
ibm:infosphere_biginsights,13
ibm:rational_appscan,13
ibm:rational_software_architect_design_manager,13
ibm:security_access_manager_for_web,13
ibm:soliddb,13
ibm:tivoli_monitoring,13
ibm:tririga_application_platform,13
ibm:websphere_datapower_xc10_appliance_firmware,13
ibm:websphere_message_broker,13
iplanet:iplanet_web_server,13
ipswitch:ipswitch_collaboration_suite,13
larry_wall:perl,13
lightneasy:lightneasy,13
mcafee:gateway,13
microsoft:directx,13
microsoft:office_web_components,13
microsoft:sql_server_reporting_services,13
modxcms:modxcms,13
mozilla:firefox_os,13
neocrome:land_down_under,13
novell:bordermanager,13
ntp:ntp,13
open_webmail:open_webmail,13
oracle:application_testing_suite,13
oracle:peoplesoft_enterprise_hrms,13
phpadsnew:phpadsnew,13
phpwebgallery:phpwebgallery,13
qbik:wingate,13
qualiteam:x-cart,13
rarlab:winrar,13
redhat:certificate_system,13
redhat:jboss_operations_network,13
sap:businessobjects,13
six_apart:movable_type,13
stefan_ritt:elog_web_logbook,13
sun:one_application_server,13
sun:one_web_server,13
tibco:rendezvous,13
usermin:usermin,13
vbzoom:vbzoom,13
vmware:vmware_player,13
wellintech:kingview,13
wikkawiki:wikkawiki,13
xnview:xnview,13
alexander_palmo:simple_php_blog,12
arubanetworks:clearpass,12
avaya:s8300,12
avaya:s8500,12
avaya:s8700,12
christos_zoulas:file,12
cisco:2500_wireless_lan_controller,12
cisco:4100_wireless_lan_controller,12
cisco:ace_4710,12
cisco:adaptive_security_appliance_5500,12
cisco:ciscoworks_common_services,12
cisco:ons_15600,12
citrix:xenserver,12
codeworx_technologies:dcp-portal,12
deltascripts:php_classifieds,12
devscripts_devel_team:devscripts,12
edgewall_software:trac,12
glpi-project:glpi,12
gnome:evolution,12
gnu:binutils,12
gnupg:gnupg,12
graphicsmagick:graphicsmagick,12
hp:intelligent_management_center_for_automated_network_manager,12
hp:service_center,12
ibm:curam_social_program_management,12
ibm:filenet_p8_application_engine,12
ibm:http_server,12
ibm:infosphere_master_data_management,12
ibm:security_access_manager_for_mobile,12
intuit:quickbooks,12
jasper_project:jasper,12
kayako:esupport,12
ledgersmb:ledgersmb,12
linpha:linpha,12
linuxfoundation:cups-filters,12
lotus:domino,12
maradns:maradns,12
mcafee:scan_engine,12
microsoft:java_virtual_machine,12
microsoft:office_web_apps_server,12
mkportal:mkportal,12
netwin:surgeftp,12
novell:imanager,12
novell:suse_linux,12
open-xchange:open-xchange_server,12
openstack:neutron,12
openvpn:openvpn,12
osticket:osticket,12
php-stats:php-stats,12
phpoutsourcing:zorum,12
phpx:phpx,12
pingtel:xpressa,12
proftpd:proftpd,12
redhat:cloudforms_3.0_management_engine,12
rpm:rpm,12
sap:sap_db,12
siemens:simatic_hmi_panels,12
siemens:simatic_s7-1500_cpu_firmware,12
siemens:wincc_flexible,12
siemens:wincc_flexible_runtime,12
siemens:wincc_runtime_advanced,12
sophos:anti-virus,12
sugarcrm:sugarcrm,12
sun:cobalt_raq_2,12
sun:cobalt_raq_3i,12
symantec:norton_ghost,12
symantec_veritas:backup_exec,12
